"TOPIC","SUBTOPIC","SUBTOPIC_ID","TAXONOMY","TAXONOMY_ID","CLASSIFICATION","CLASSIFICATION_ID","GROUP","GROUP_ID","GROUP_ORDER","SUBGROUP","SUBGROUP_ID","SUBGROUP_ORDER","NESTING_LABEL","NESTING_LABEL_ID","ESTIMATE_TYPE","ESTIMATE_TYPE_ID","TIME_PERIOD","TIME_PERIOD_ID","ESTIMATE","STANDARD_ERROR","ESTIMATE_LCI","ESTIMATE_UCI","FLAG","FOOTNOTE_ID_LIST"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","FN0201,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, crude","2","2001-2004","4","46.6","1",,,,"FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, crude","2","2005-2008","5","45.7","0.7",,,,"FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, crude","2","2009-2012","6","46.2","1.1",,,,"FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, crude","2","2013-2016","7","46.4","0.7",,,,"FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, crude","2","2017-3/2020","8","49.4","1.3",,,,"FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, age adjusted","1","1988-1994","1",,,,,"- - -","NA0004,FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0054,FN0027,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0054,FN0027,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, age adjusted","1","2001-2004","4",,,,,"- - -","NA0004,FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, age adjusted","1","2005-2008","5",,,,,"- - -","NA0004,FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, age adjusted","1","2009-2012","6","41.5","1.2",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, age adjusted","1","2013-2016","7","43","0.8",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, age adjusted","1","2017-3/2020","8","44.5","1.1",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, crude","2","1988-1994","1",,,,,"- - -","NA0004,FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","FN0054,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","FN0054,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, crude","2","2001-2004","4",,,,,"- - -","NA0004,FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, crude","2","2005-2008","5",,,,,"- - -","NA0004,FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, crude","2","2009-2012","6","34.7","1.7",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, crude","2","2013-2016","7","37.4","1.1",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic","3.4","2",,,"Percent of population, crude","2","2017-3/2020","8","40.6","1.3",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, age adjusted","1","1988-1994","1","45.8","0.9",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0054,FN0027,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0054,FN0027,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, age adjusted","1","2001-2004","4","43.9","1.4",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, age adjusted","1","2005-2008","5","40.8","1.7",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, age adjusted","1","2009-2012","6","41.6","1.5",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, age adjusted","1","2013-2016","7","43.2","1.3",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, age adjusted","1","2017-3/2020","8","42.6","1.6",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, crude","2","1988-1994","1","35.1","1.6",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","FN0054,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","FN0054,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, crude","2","2001-2004","4","32","2.3",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, crude","2","2005-2008","5","32.6","1.8",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, crude","2","2009-2012","6","33.8","2.1",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, crude","2","2013-2016","7","37.3","1.8",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","All races, Hispanic, Mexican","3.5","3",,,"Percent of population, crude","2","2017-3/2020","8","36.6","1.4",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, age adjusted","1","1988-1994","1",,,,,"- - -","NA0004,FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0054,FN0027,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0054,FN0027,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, age adjusted","1","2001-2004","4",,,,,"- - -","NA0004,FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, age adjusted","1","2005-2008","5",,,,,"- - -","NA0004,FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, age adjusted","1","2009-2012","6",,,,,"- - -","NA0004,FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, age adjusted","1","2013-2016","7","41.2","1.4",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, age adjusted","1","2017-3/2020","8","46.2","1.1",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, crude","2","1988-1994","1",,,,,"- - -","NA0004,FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","FN0054,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","FN0054,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, crude","2","2001-2004","4",,,,,"- - -","NA0004,FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, crude","2","2005-2008","5",,,,,"- - -","NA0004,FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, crude","2","2009-2012","6",,,,,"- - -","NA0004,FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, crude","2","2013-2016","7","40.1","1.9",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Asian only, non-Hispanic","3.1","4",,,"Percent of population, crude","2","2017-3/2020","8","45.7","1.3",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, age adjusted","1","1988-1994","1","55.4","0.7",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0054,FN0027,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0054,FN0027,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, age adjusted","1","2001-2004","4","58.7","1.5",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, age adjusted","1","2005-2008","5","54.5","1.2",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, age adjusted","1","2009-2012","6","57.6","1.2",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, age adjusted","1","2013-2016","7","56.1","0.9",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, age adjusted","1","2017-3/2020","8","58.9","1.2",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, crude","2","1988-1994","1","49.6","1",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","FN0054,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","FN0054,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, crude","2","2001-2004","4","55.1","1.5",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, crude","2","2005-2008","5","52.5","1.5",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, crude","2","2009-2012","6","56.5","1.4",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, crude","2","2013-2016","7","55.6","0.9",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","Black only, non-Hispanic","3.2","5",,,"Percent of population, crude","2","2017-3/2020","8","59","1.6",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, age adjusted","1","1988-1994","1","41.4","1",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0054,FN0027,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0054,FN0027,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, age adjusted","1","2001-2004","4","45.4","1.1",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, age adjusted","1","2005-2008","5","44.3","1.1",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, age adjusted","1","2009-2012","6","43.3","1",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, age adjusted","1","2013-2016","7","42.2","0.9",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, age adjusted","1","2017-3/2020","8","44.5","2",,,,"FN0054,FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, crude","2","1988-1994","1","41.2","1.1",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","FN0054,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, crude","2","1999-2000","3",,,,,"- -","FN0054,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, crude","2","2001-2004","4","47.1","1.2",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, crude","2","2005-2008","5","47.6","0.9",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, crude","2","2009-2012","6","47.5","1.3",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, crude","2","2013-2016","7","47.5","1",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Race and Hispanic origin","3","2","White only, non-Hispanic","3.3","6",,,"Percent of population, crude","2","2017-3/2020","8","49.7","2",,,,"FN0054,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, age adjusted","1","1988-1994","1","36.5","0.8",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0027,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0027,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, age adjusted","1","2001-2004","4","42.3","0.9",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, age adjusted","1","2005-2008","5","40.3","0.9",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, age adjusted","1","2009-2012","6","40.5","0.8",,,,"FN0027,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Demographic Characteristic","1","Sex","1","3","Female","1.1","7",,,"Percent of population, age adjusted","1","2013-2016","7","40","0.9",,,,"FN0027,NT0009,SC0004,NT9997"
